연번	시군구	중개업소 구분	중개업자명	중개업소명	사무소주소	위도	경도	데이터기준일자
1	 강서구	공인중개사	이동준	명지JW부동산공인중개사사무소	부산광역시 강서구 명지국제8로10번길 38 123호(명지동)	35.09440085	128.9034558	2023-01-30
2	 강서구	공인중개사	김양순	창공수공인중개사사무소	부산광역시 강서구 대저로 259 A동(대저1동)	35.21366642	128.9809038	2023-01-30
3	 강서구	공인중개사	백경애	뉴창공공인중개사사무소	부산광역시 강서구 대저로 259 A동(대저1동)	35.21366642	128.9809038	2023-01-30
4	 강서구	공인중개사	전현아	끌림부동산공인중개사사무소	부산광역시 강서구 명지국제2로 41 119호(명지동, 더샵 명지퍼스트월드 3단지)	35.09466534	128.9066612	2023-01-30
5	 강서구	공인중개사	김정현	델타공인중개사사무소	부산광역시 강서구 명지국제1로 56-2 108호(명지동)	35.09358046	128.9058815	2023-01-30
6	 강서구	공인중개사	이수정	정음공인중개사사무소	부산광역시 강서구 명지국제7로 120 상가1동 107호(명지동, 더 힐 시그니처)	35.0959644	128.9149124	2023-01-30
7	 강서구	공인중개사	박윤미	대저삼덕공인중개사사무소	부산광역시 강서구 유통단지1로 41 본관동 105호(대저2동)	35.16729305	128.955702	2023-01-30
8	 강서구	공인중개사	손성민	대저공인중개사사무소	부산광역시 강서구 대저로155번길 21 (대저1동)	35.21577625	128.9696599	2023-01-30
9	 강서구	법인	김광수	희망공인중개사사무소(주)	부산광역시 강서구 녹산화전로 275 204호(녹산동)	35.11132384	128.8722692	2023-01-30
10	 강서구	공인중개사	송유종	위드공인중개사사무소	부산광역시 강서구 범방3로68번길 7 101호(범방동)	35.14915908	128.8818155	2023-01-30
11	 강서구	공인중개사	장유리	장유리공인중개사사무소권리분석자산관리전문	부산광역시 강서구 명지국제8로 269 204호(명지동)	35.09811583	128.9224276	2023-01-30
12	 강서구	공인중개사	정연순	미음부동산중개사무소	부산광역시 강서구 미음국제2로가길 29 1층(미음동)	35.14474264	128.8755454	2023-01-30
13	 강서구	공인중개사	서서현	꿈부동산공인중개사사무소	부산광역시 강서구 명지국제12로11번길 16-4 102호(명지동)	35.10606369	128.9227695	2023-01-30
14	 강서구	공인중개사	김영숙	네오부동산공인중개사사무소	부산광역시 강서구 가락대로 1437-1 (죽림동)	35.19279162	128.9031948	2023-01-30
