연번,시군구,중개업소 구분,중개업자명,중개업소명,사무소주소,위도,경도,데이터기준일자
1, 강서구,공인중개사,이동준,명지JW부동산공인중개사사무소,부산광역시 강서구 명지국제8로10번길 38 123호(명지동),35.09440085,128.9034558,2023-01-30
2, 강서구,공인중개사,김양순,창공수공인중개사사무소,부산광역시 강서구 대저로 259 A동(대저1동),35.21366642,128.9809038,2023-01-30
3, 강서구,공인중개사,백경애,뉴창공공인중개사사무소,부산광역시 강서구 대저로 259 A동(대저1동),35.21366642,128.9809038,2023-01-30
4, 강서구,공인중개사,전현아,끌림부동산공인중개사사무소,"부산광역시 강서구 명지국제2로 41 119호(명지동, 더샵 명지퍼스트월드 3단지)",35.09466534,128.9066612,2023-01-30
5, 강서구,공인중개사,김정현,델타공인중개사사무소,부산광역시 강서구 명지국제1로 56-2 108호(명지동),35.09358046,128.9058815,2023-01-30
6, 강서구,공인중개사,이수정,정음공인중개사사무소,"부산광역시 강서구 명지국제7로 120 상가1동 107호(명지동, 더 힐 시그니처)",35.0959644,128.9149124,2023-01-30
7, 강서구,공인중개사,박윤미,대저삼덕공인중개사사무소,부산광역시 강서구 유통단지1로 41 본관동 105호(대저2동),35.16729305,128.955702,2023-01-30
8, 강서구,공인중개사,손성민,대저공인중개사사무소,부산광역시 강서구 대저로155번길 21 (대저1동),35.21577625,128.9696599,2023-01-30
9, 강서구,법인,김광수,희망공인중개사사무소(주),부산광역시 강서구 녹산화전로 275 204호(녹산동),35.11132384,128.8722692,2023-01-30
10, 강서구,공인중개사,송유종,위드공인중개사사무소,부산광역시 강서구 범방3로68번길 7 101호(범방동),35.14915908,128.8818155,2023-01-30
11, 강서구,공인중개사,장유리,장유리공인중개사사무소권리분석자산관리전문,부산광역시 강서구 명지국제8로 269 204호(명지동),35.09811583,128.9224276,2023-01-30
12, 강서구,공인중개사,정연순,미음부동산중개사무소,부산광역시 강서구 미음국제2로가길 29 1층(미음동),35.14474264,128.8755454,2023-01-30
13, 강서구,공인중개사,서서현,꿈부동산공인중개사사무소,부산광역시 강서구 명지국제12로11번길 16-4 102호(명지동),35.10606369,128.9227695,2023-01-30
14, 강서구,공인중개사,김영숙,네오부동산공인중개사사무소,부산광역시 강서구 가락대로 1437-1 (죽림동),35.19279162,128.9031948,2023-01-30
15, 강서구,공인중개사,김정애,휴플러스공인중개사사무소,부산광역시 강서구 명지오션시티3로 33 103호(명지동),35.08127065,128.9029927,2023-01-30
16, 강서구,공인중개사,우지예,프로부동산공인중개사사무소,부산광역시 강서구 신호산단2로 53-1 (신호동),35.08423315,128.8776827,2023-01-30
17, 강서구,공인중개사,김연주,로얄부동산공인중개사사무소,"부산광역시 강서구 명지국제7로 37 오피스텔동 905호(명지동, 더샵 명지퍼스트월드 2단지)",35.09754964,128.9054867,2023-01-30
18, 강서구,공인중개사,황주경,OK부동산공인중개사사무소,"부산광역시 강서구 명지국제5로 60 상가동 110-1호(명지동, 에일린의뜰)",35.10039013,128.9208848,2023-01-30
19, 강서구,공인중개사,박영은,다올다매공인중개사사무소,부산광역시 강서구 사덕신장로 18 (대저1동),35.21383487,128.9856837,2023-01-30
20, 강서구,공인중개사,박종윤,정문공인중개사사무소,부산광역시 강서구 대저로 174 (대저1동),35.2146584,128.9719202,2023-01-30
21, 강서구,공인중개사,박성훈,신세계공인중개사사무소,부산광역시 강서구 대저로 261 (대저1동),35.21359236,128.9811446,2023-01-30
22, 강서구,공인중개사,임수인,명지더시티공인중개사사무소,부산광역시 강서구 명지국제6로 107 상가B동 127호(명지동),35.09293896,128.9108864,2023-01-30
23, 강서구,공인중개사,이명득,당근공인중개사사무소,부산광역시 강서구 신호산단1로 76 상가 106호(신호동),35.0822588,128.8727268,2023-01-30
24, 강서구,공인중개사,정세윤,금공인중개사사무소,부산광역시 강서구 화전산단4로25번길 15 101호(화전동),35.11163207,128.8807412,2023-01-30
25, 강서구,공인중개사,윤지영,참조은부동산공인중개사사무소,부산광역시 강서구 공항로1281번길 43-5 201호(대저1동),35.21124261,128.9852239,2023-01-30
26, 강서구,공인중개사,이홍근,합동공인중개사사무소,부산광역시 강서구 명지오션시티4로 81 503호(명지동),35.0816961,128.9039624,2023-01-30
27, 강서구,공인중개사,강원희,신세계공인중개사사무소,"부산광역시 강서구 명지오션시티10로 16 상가동 219호(명지동, 영어도시 퀀덤1차)",35.08640978,128.8967876,2023-01-30
28, 강서구,공인중개사,백현남,최강공인중개사사무소,부산광역시 강서구 낙동남로 610 (녹산동),35.11397158,128.8862515,2023-01-30
29, 강서구,공인중개사,윤정희,이재부동산공인중개사사무소,부산광역시 강서구 범방3로46번길 5 (범방동),35.14749968,128.8806891,2023-01-30
30, 강서구,공인중개사,정덕균,지산부동산중개,"부산광역시 강서구 명지국제2로 80 제비주거시설동 제2층 제65호(명지동, e편한세상 명지)",35.09876263,128.9084177,2023-01-30
31, 강서구,공인중개사,이상용,금강부동산공인중개사사무소,부산광역시 강서구 대저로221번길 5 (대저1동),35.21469871,128.9769841,2023-01-30
32, 강서구,공인중개사,이민영,부토공인중개사사무소,부산광역시 강서구 평강로 316 (대저1동),35.21287183,128.9471644,2023-01-30
33, 강서구,공인중개사,이승훈,뉴삼성공인중개사사무소,부산광역시 강서구 제도로 715 (강동동),35.17665732,128.9162671,2023-01-30
34, 강서구,공인중개사,김대성,지타워공인중개사사무소,부산광역시 강서구 명지오션시티11로 66 110호(명지동),35.08402778,128.9031548,2023-01-30
35, 강서구,공인중개사,조순덕,대복공인중개사사무소,부산광역시 강서구 울만로 376 (대저2동),35.16394977,128.9429517,2023-01-30
36, 강서구,공인중개사,김나희,B2B공인중개사사무소,부산광역시 강서구 명지국제2로28번길 34 709호(명지동),35.09284604,128.9088564,2023-01-30
37, 강서구,공인중개사,서창훈,파워공인중개사사무소,부산광역시 강서구 대저로 57 1층(대저1동),35.21528544,128.9588681,2023-01-30
38, 강서구,공인중개사,김상근,코끼리부동산공인중개사사무소,부산광역시 강서구 낙동북로 192 (대저1동),35.2139621,128.9495165,2023-01-30
39, 강서구,공인중개사,전달수,미래공인중개사사무소,부산광역시 강서구 신호산단1로 152 101호(신호동),35.08114123,128.8801716,2023-01-30
40, 강서구,공인중개사,오창섭,만복1공인중개사사무소,부산광역시 강서구 명지국제8로 251 105호(명지동),35.098338,128.9204778,2023-01-30
41, 강서구,공인중개사,김미영,소나무공인중개사사무소,부산광역시 강서구 명지국제2로 29 120호(명지동),35.09415059,128.9067871,2023-01-30
42, 강서구,공인중개사,서경호,경호부동산중개,부산광역시 강서구 가덕해안로 1178-2 (대항동),35.0129303,128.8303751,2023-01-30
43, 강서구,공인중개사,차재승,제나우스조은공인중개사사무소,부산광역시 강서구 명지국제2로 16 101동 104호,35.09218119,128.9085639,2023-01-30
44, 강서구,공인중개사,김윤환,부자공인중개사사무소,부산광역시 강서구 대저중앙로 6 (대저1동),35.21440029,128.949961,2023-01-30
46, 강서구,공인중개사,허성근,천하부동산중개사무소,부산광역시 강서구 명지국제7로 37 상가1층 107호,35.09754964,128.9054867,2023-01-30
47, 강서구,공인중개사,박동선,신네오공인중개사사무소,부산광역시 강서구 가락대로 1437-1 ,35.19279162,128.9031948,2023-01-30
48, 강서구,공인중개사,남동구,동인공인중개사사무소,부산광역시 강서구 낙동남로582번가길 4 (녹산동),35.11179904,128.8838036,2023-01-30
49, 강서구,공인중개사,오빈,에코탑공인중개사사무소,부산광역시 강서구 제도로 994 1층(강동동),35.2000905,128.9273366,2023-01-30
50, 강서구,공인중개사,성유근,더샵공인중개사사무소,"부산광역시 강서구 명지국제2로 41 151호 (명지동,더샵명지퍼스트월드 3단지)",35.09466534,128.9066612,2023-01-30
51, 강서구,공인중개사,이정아,국제카카오공인중개사사무소,부산광역시 강서구 명지국제8로 246 114호(명지동),35.0977406,128.9196155,2023-01-30
52, 강서구,공인중개사,서순정,서강공인중개사사무소,부산광역시 강서구 맥도길453번길 55 (대저2동),35.14215086,128.9375311,2023-01-30
53, 강서구,공인중개사,김윤수,뉴복성공인중개사사무소,부산광역시 강서구 대저로 297 2층(대저1동),35.21149428,128.9842055,2023-01-30
